2026-04-15	TBN	Tamboran Resources Corporation	59	Phillip Z Pace	Director	$370k	10k	$36.99	+
2026-04-15	CAG	ConAgra Brands, Inc.	64	John J Mulligan	Director	$250k	18k	$14.31	+
2026-04-15	CAG	ConAgra Brands, Inc.	64	Richard H Lenny	Director	$359k	25k	$14.34	+
2026-04-15	LW	Lamb Weston Holdings, Inc.	62	JANA Partners Management, LP	Director	$4.2M	100k	$42.12	+
2026-04-14	NKE	Nike, Inc.	65	Timothy D Cook	Director	$1.1M	25k	$42.43	+
2026-04-14	NKE	Nike, Inc.	65	Elliott Hill	PRESIDENT & CEO	$1000k	24k	$42.27	+
2026-04-13	HTO	H2O America	58	ATLAS Infrastructure Partners (UK) Ltd.	10% Owner	$3.0M	50k	$59.06	+
2026-04-13	SMC	Summit Midstream Corporation	59	Connect Midstream, LLC / Tailwater Energy Fund III LP / Tailwater Capital LLC / Jason H Downie / Edward Herring	10% Owner	$37.9M	1.2M	$31.08	+
2026-04-13	CHPT	ChargePoint Holdings, Inc.	57	Richard Wilmer	President and CEO	$250k	47k	$5.34	+
2026-04-13	MESO	Mesoblast Limited	64	George Gregory	Director, 10% Owner	$720k	500k	$1.44	+
2026-04-13	MESO	Mesoblast Limited	64	George Gregory	Director, 10% Owner	$153k	105k	$1.46	+
2026-04-13	MESO	Mesoblast Limited	64	George Gregory	Director, 10% Owner	$1.3M	887k	$1.43	+
2026-04-13	MKC	McCormick & Company, Incorporated	67	Gavin Hattersley	Director	$106k	2k	$52.98	+
2026-04-10	AYI	Acuity Inc.	54	O'Shaughnessy Laura	Director	$283k	1k	$282.98	+
2026-04-10	TBN	Tamboran Resources Corporation	59	Scott D Sheffield	Director	$252k	7k	$36.02	+
2026-04-10	NKE	Nike, Inc.	65	John W Rogers JR	Director	$173k	4k	$43.34	+
2026-04-10	HYMC	Hycroft Mining Holding Corporation	57	Sprott Eric / 2176423 Ontario Ltd.	10% Owner	$3.8M	100k	$38.28	+
2026-04-10	USAU	U.S. Gold Corp.	55	Luke Anthony Norman	Director	$146k	10k	$14.63	+
2026-04-10	HYMC	Hycroft Mining Holding Corporation	57	Sprott Eric / 2176423 Ontario Ltd.	10% Owner	$3.9M	100k	$39.06	+
2026-04-10	ENR	Energizer Holdings, Inc.	60	Aqua Capital, Ltd. / Durango Capital, Ltd. / Fundacion Omerinta / Brinza International Corp / Fundacion Barniz / Ramirez Alfredo Jose Diez	10% Owner	$251k	14k	$17.47	+
2026-04-10	BETR	Better Home & Finance Holding Company	69	Framework Ventures IV L.P. / Framework Ventures Management LLC / Framework Ventures IV GP LLC / Vance Spencer / Michael Ernest Anderson / Framework Labs, Inc.	10% Owner	$1.8M	54k	$32.96	+
2026-04-09	LW	Lamb Weston Holdings, Inc.	62	JANA Partners Management, LP	Director	$5.6M	136k	$40.89	+
2026-04-09	BETR	Better Home & Finance Holding Company	69	Harit Talwar	Director	$164k	5k	$32.89	+
2026-04-09	LW	Lamb Weston Holdings, Inc.	62	JANA Partners Management, LP	Director	$4.1M	100k	$41.41	+
2026-04-08	AIRS	AirSculpt Technologies, Inc.	43	Jorey Chernett	10% Owner	$176k	60k	$2.93	+
2026-04-08	NKE	Nike, Inc.	65	Robert Holmes Swan	Director	$500k	12k	$42.44	+
2026-04-08	BETR	Better Home & Finance Holding Company	69	Garg Vishal	Chief Executive Officer	$351k	10k	$35.05	+
2026-04-08	LW	Lamb Weston Holdings, Inc.	62	Norman Prestage	Director	$104k	3k	$41.40	+
2026-04-07	LW	Lamb Weston Holdings, Inc.	62	Peter J Bensen	Director	$197k	5k	$39.45	+
2026-04-07	FUL	H. B. Fuller Company	58	Celeste Beeks Mastin	President and CEO	$295k	5k	$57.08	+
2026-04-07	CTGO	Contango ORE, Inc.	48	Clynton R. Nauman	Director	$186k	10k	$18.56	+
2026-04-07	OSCR	Oscar Health, Inc.	38	Mark T Bertolini	Chief Executive Officer	$11.9M	1.0M	$11.92	+
2026-04-06	AIRS	AirSculpt Technologies, Inc.	43	Jorey Chernett	10% Owner	$254k	90k	$2.82	+
2026-04-06	GSBD	Goldman Sachs BDC, Inc.	61	Carlos E Evans	Director	$451k	50k	$9.02	+
2026-04-06	VSCO	Victorias Secret & Co.	62	Donna James	Director	$101k	2k	$46.23	+
2026-04-06	SCVL	Shoe Carnival, Inc.	59	Kerry W Jackson	EVP - CFO	$500k	31k	$16.13	+
2026-04-06	BETR	Better Home & Finance Holding Company	69	Harit Talwar	Director	$176k	5k	$35.24	+
2026-04-06	CODI	D/B/A Compass Diversified Holdings Shares of Beneficial Interest	42	Stephen Keller	Other	$173k	20k	$8.66	+
2026-04-06	VSCO	Victorias Secret & Co.	62	Anne Sheehan	Director	$222k	5k	$45.86	+
2026-04-03	VALE	VALE S.A.	58	Parenti Grazielle Tallia	Officer, Sustainability	$169k	10k	$16.11	+
2026-04-03	VALE	VALE S.A.	58	Sobrinho Sami Arap	Executive VP Legal Officer	$209k	13k	$16.11	+
2026-04-03	LULU	lululemon athletica inc.	72	Andre Maestrini	Pres, CCO & Interim Co-CEO	$495k	3k	$151.02	+
2026-04-02	BPRN	Princeton Bancorp, Inc.	56	Stephen Shueh	Director	$213k	7k	$30.44	+
2026-04-02	PHR	Phreesia, Inc.	55	Pale Fire Capital SE / Fire Capital Sicav A.S. Pale / Fire Capital Investicni Spolecnost A.S. Pale / Dusan Senkypl / Barta Jan	10% Owner	$1.4M	169k	$8.43	+
2026-04-02	PHR	Phreesia, Inc.	55	Pale Fire Capital SE / Fire Capital Sicav A.S. Pale / Fire Capital Investicni Spolecnost A.S. Pale / Dusan Senkypl / Barta Jan	10% Owner	$8.2M	1.0M	$8.16	+
2026-04-02	WCC	WESCO International, Inc.	45	Daniel J Castillo	EVP & GM, EES	$372k	1k	$266.06	+
2026-04-02	PHR	Phreesia, Inc.	55	Pale Fire Capital SE / Fire Capital Sicav A.S. Pale / Fire Capital Investicni Spolecnost A.S. Pale / Dusan Senkypl / Barta Jan	10% Owner	$882k	106k	$8.31	+
2026-04-01	VTS	Vitesse Energy Inc.	62	Leary Dan O	Director	$186k	10k	$18.56	+
2026-04-01	PGC	Peapack-Gladstone Financial Corporation	51	Douglas L Kennedy	President & CEO	$398k	11k	$35.21	+
2026-04-01	RBRK	Rubrik, Inc.	43	Mark D Mclaughlin	Director	$502k	11k	$47.21	+
2026-04-01	ZBIO	Zenas BioPharma, Inc.	61	Fairmount Funds Management LLC / Fairmount Healthcare Fund II L.P. / Tomas Kiselak / Peter Evan Harwin	Director	$3.0M	150k	$20.00	+
2026-04-01	GIC	Global Industrial Company	74	Christopher Longhito	Other	$186k	6k	$31.05	+
2026-04-01	TSM	Taiwan Semiconductor Manufacturing Company Ltd.	46	Ursula M Burns	Director	$322k	1k	$322.05	+
2026-04-01	GTLB	GitLab Inc.	48	William Staples	Chief Executive Officer	$108k	5k	$21.30	+
2026-04-01	PGC	Peapack-Gladstone Financial Corporation	51	Frank A. Cavallaro	SEVP & Chief Financial Officer	$101k	3k	$34.95	+
2026-03-31	QFIN	Qfin Holdings, Inc.	60	Xiaohuan Chen	Director	$749k	60k	$12.48	+
2026-03-31	SBSW	D/B/A Sibanye-Stillwater Limited	54	Charles Edward Carter	Chief Regional Officer: Amer.	$114k	10k	$11.40	+
2026-03-31	IMNM	Immunome, Inc.	60	Clay B Siegall	President and CEO	$501k	25k	$19.67	+
2026-03-31	MLYS	Mineralys Therapeutics, Inc.	53	RA CAPITAL MANAGEMENT, L.P. / RA Capital Healthcare Fund LP / RA Capital Nexus Fund III, L.P. / Peter Kolchinsky / Rajeev M. Shah	Director	$7.4M	311k	$23.67	+
2026-03-31	NAVN	Navan, Inc.	38	Anre D Williams	Director	$1.2M	100k	$12.00	+
2026-03-31	QFIN	Qfin Holdings, Inc.	60	Xiaohuan Chen	Director	$2.4M	190k	$12.89	+
2026-03-31	TSM	Taiwan Semiconductor Manufacturing Company Ltd.	46	Shyue-Shyh Lin	VP	$164k	3k	$54.72	+
2026-03-31	ZBIO	Zenas BioPharma, Inc.	61	Leon O Moulder JR	Chief Executive Officer	$365k	20k	$18.23	+
2026-03-31	ZBIO	Zenas BioPharma, Inc.	61	Leon O Moulder JR	Chief Executive Officer	$657k	34k	$19.31	+
2026-03-31	MLYS	Mineralys Therapeutics, Inc.	53	RA CAPITAL MANAGEMENT, L.P. / RA Capital Healthcare Fund LP / RA Capital Nexus Fund III, L.P. / Peter Kolchinsky / Rajeev M. Shah	Director	$1.4M	58k	$24.16	+
2026-03-31	PAGS	PagSeguro Digital Ltd.	59	Luis Frias	Director	$2.5M	249k	$9.99	+
2026-03-31	ZBIO	Zenas BioPharma, Inc.	61	Hongbo Lu	Director	$1.5M	75k	$20.00	+
2026-03-31	PAGS	PagSeguro Digital Ltd.	59	Luis Frias	Director	$2.5M	249k	$9.94	+
2026-03-30	HTGC	Hercules Capital, Inc.	49	Wade Loo	Director	$105k	7k	$14.35	+
2026-03-30	HTGC	Hercules Capital, Inc.	49	Deanne Aguirre	Director	$105k	7k	$14.35	+
2026-03-30	LENZ	LENZ Therapeutics, Inc.	57	Evert B. Schimmelpennink	President, CEO and Secretary	$251k	28k	$8.95	+
2026-03-30	GO	Grocery Outlet Holding Corp.	51	Erik D. Ragatz	Director	$883k	125k	$7.06	+
2026-03-30	HTGC	Hercules Capital, Inc.	49	Thomas J Fallon	Director	$104k	7k	$14.30	+
2026-03-30	TSM	Taiwan Semiconductor Manufacturing Company Ltd.	46	Shyue-Shyh Lin	VP	$111k	2k	$55.63	+
2026-03-30	HTGC	Hercules Capital, Inc.	49	Nikos Theodosopoulos	Director	$105k	7k	$14.35	+
2026-03-30	HTGC	Hercules Capital, Inc.	49	Gayle A Crowell	Director	$105k	7k	$14.35	+
2026-03-30	KMTS	Kestra Medical Technologies, Ltd.	56	Raymond W Cohen	Director	$200k	10k	$19.98	+
2026-03-30	CME	CME Group Inc.	66	William R Shepard	Director	$419k	1k	$297.38	+
2026-03-30	WVE	Wave Life Sciences Ltd.	65	RA CAPITAL MANAGEMENT, L.P. / RA Capital Healthcare Fund LP / Peter Kolchinsky / Rajeev M. Shah	Director, 10% Owner	$30.0M	5.0M	$6.06	+
2026-03-30	WVE	Wave Life Sciences Ltd.	65	RA CAPITAL MANAGEMENT, L.P. / RA Capital Healthcare Fund LP / Peter Kolchinsky / Rajeev M. Shah	Director, 10% Owner	$2.2M	351k	$6.38	+
2026-03-30	WVE	Wave Life Sciences Ltd.	65	RA CAPITAL MANAGEMENT, L.P. / RA Capital Healthcare Fund LP / Peter Kolchinsky / Rajeev M. Shah	Director, 10% Owner	$16.0M	2.5M	$6.43	+
2026-03-30	WVE	Wave Life Sciences Ltd.	65	RA CAPITAL MANAGEMENT, L.P. / RA Capital Healthcare Fund LP / Peter Kolchinsky / Rajeev M. Shah	Director, 10% Owner	$6.3M	971k	$6.50	+
2026-03-27	PICS	PicS N.V.	59	Simoes Eduardo Chedid	Chief Executive Officer	$1.0M	88k	$11.52	+
2026-03-27	MED	MEDIFAST INC	41	Daniel R Chard	Chairman & CEO	$179k	18k	$10.11	+
2026-03-27	PANW	Palo Alto Networks, Inc.	38	Nikesh Arora	Chief Executive Officer	$10.0M	68k	$146.87	+
2026-03-27	FMNB	Farmers National Banc Corp.	54	Nicholas D Varischetti	Director	$947k	73k	$12.97	+
2026-03-27	TOI	The Oncology Institute, Inc.	45	Jorey Chernett	10% Owner	$158k	50k	$3.15	+
2026-03-27	IAUX	i-80 Gold Corp.	60	Richard Scott Young	President and CEO	$1.4M	1.0M	$1.40	+
2026-03-27	CDNL	Cardinal Infrastructure Group Inc.	54	Ivy Zelman	Director	$251k	7k	$36.33	+
2026-03-26	BORR	Borr Drilling Limited	56	Troim Tor Olav	Director	$2.6M	500k	$5.20	+
2026-03-26	BORR	Borr Drilling Limited	56	Jeffrey Currie	Director	$1.3M	250k	$5.31	+
2026-03-25	TOI	The Oncology Institute, Inc.	45	Jorey Chernett	10% Owner	$389k	125k	$3.11	+
2026-03-25	GO	Grocery Outlet Holding Corp.	51	N. J. Potter Jason	President and CEO	$700k	110k	$6.35	+
2026-03-25	NEXT	NextDecade Corporation	57	Pamela K.M. Beall	Director	$506k	72k	$7.07	+
2026-03-25	FRPH	FRP Holdings, Inc.	63	John D Baker II	Director, 10% Owner	$10.0M	478k	$20.90	+
2026-03-25	MGM	MGM Resorts International	56	IAC Inc.	10% Owner	$20.5M	550k	$37.30	+
2026-03-25	AIRS	AirSculpt Technologies, Inc.	43	Jorey Chernett	10% Owner	$146k	50k	$2.91	+
2026-03-25	MBAV	M3-Brigade Acquisition V Corp.	62	CANTOR FITZGERALD, L. P. / CANTOR FITZGERALD & CO. / CANTOR FITZGERALD SECURITIES / Group Management Inc CF / Brandon Lutnick	Other	$84.0M	7.8M	$10.80	+
2026-03-25	GSM	Ferroglobe PLC	67	Madrid Javier Lopez	Executive Chairman	$100k	26k	$3.86	+
2026-03-25	GSM	Ferroglobe PLC	67	de Fuentes Silvia Villar-Mir	Director	$100k	26k	$3.86	+
2026-03-25	MGM	MGM Resorts International	56	IAC Inc.	10% Owner	$16.7M	450k	$37.13	+
2026-03-24	ARQ	Arq, Inc.	48	Richard Campbell-Breeden	Director	$332k	150k	$2.21	+
2026-03-24	PICS	PicS N.V.	59	William Rodney Pruett	Director	$1.2M	100k	$11.80	+
2026-03-24	BETR	Better Home & Finance Holding Company	69	Garg Vishal	Chief Executive Officer	$291k	10k	$29.56	+
2026-03-24	BETR	Better Home & Finance Holding Company	69	Garg Vishal	Chief Executive Officer	$190k	7k	$28.37	+
2026-03-24	SLGL	Sol-Gel Technologies Ltd.	61	Opaleye Management Inc.	10% Owner	$2.5M	35k	$72.00	+
2026-03-24	SLGL	Sol-Gel Technologies Ltd.	61	Opaleye Management Inc.	10% Owner	$360k	5k	$72.00	+
